"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 16, 2018","233.23","232.00","233.01","232.00","0.04K","0.25%"
"Feb 15, 2018","232.64","232.80","232.80","232.80","0.01K","-0.06%"
"Feb 14, 2018","232.79","233.09","233.09","232.53","0.31K","-0.01%"
"Feb 13, 2018","232.81","232.90","233.05","232.78","0.16K","-0.09%"
"Feb 12, 2018","233.01","232.74","233.02","232.69","0.23K","0.02%"
"Feb 09, 2018","232.96","232.75","233.19","232.75","0.05K","-0.02%"
"Feb 08, 2018","233.01","233.05","233.41","232.96","0.40K","-0.18%"
"Feb 07, 2018","233.42","233.37","233.75","233.37","1.16K","-0.01%"
"Feb 06, 2018","233.44","233.35","233.63","233.35","0.09K","0.21%"
"Feb 05, 2018","232.96","232.77","233.18","232.77","0.11K","0.08%"
"Feb 02, 2018","232.77","232.86","232.86","232.86","0.15K","-0.22%"
"Feb 01, 2018","233.28","232.91","233.47","232.67","5.06K","0.16%"
"Jan 31, 2018","232.91","233.06","233.06","233.05","1.00K","-0.05%"
"Jan 30, 2018","233.03","232.00","233.44","232.00","1.32K","0.01%"
"Jan 29, 2018","233.00","233.29","233.29","232.93","0.07K","-0.17%"
"Jan 26, 2018","233.40","233.57","233.62","233.23","0.81K","-0.22%"
"Jan 25, 2018","233.91","234.47","234.47","234.41","0.20K","-0.23%"
"Jan 24, 2018","234.46","234.47","234.47","234.47","0.25K","-0.09%"
"Jan 23, 2018","234.68","234.70","234.70","234.56","0.06K","0.10%"
"Jan 22, 2018","234.44","234.12","234.12","234.12","0.07K","0.04%"
"Jan 19, 2018","234.35","234.26","234.40","234.06","0.23K","0.11%"
"Jan 18, 2018","234.09","233.98","234.20","233.91","0.44K","-0.03%"
"Jan 17, 2018","234.15","234.07","234.16","234.07","0.26K","-0.00%"
"Jan 16, 2018","234.16","234.29","234.38","234.29","0.07K","0.12%"
"Jan 15, 2018","233.87","234.11","234.11","233.90","3.54K","0.00%"
"Jan 12, 2018","233.87","233.78","233.78","233.78","0.01K","-0.19%"
"Jan 10, 2018","234.32","234.57","234.57","234.45","0.40K","-0.25%"
"Jan 08, 2018","234.90","234.52","234.70","234.52","0.11K","0.07%"
"Jan 05, 2018","234.73","234.63","234.63","234.63","0.01K","0.04%"
"Jan 04, 2018","234.63","234.34","234.57","234.34","2.90K","0.14%"
"Jan 03, 2018","234.31","234.36","234.79","234.36","0.06K","0.07%"
"Jan 02, 2018","234.14","234.46","234.46","234.15","0.31K","-0.22%"
"Dec 29, 2017","234.66","234.68","234.74","234.50","0.71K","-0.09%"
"Dec 28, 2017","234.86","235.29","235.29","234.92","0.48K","-0.21%"
"Dec 27, 2017","235.36","236.55","236.55","235.36","0.30K","0.01%"
"Dec 22, 2017","235.34","236.45","236.45","235.40","0.03K","0.01%"
"Dec 21, 2017","235.31","235.91","235.91","235.23","0.29K","-0.13%"
"Dec 19, 2017","235.62","236.15","236.30","236.15","0.06K","-0.29%"
"Dec 14, 2017","236.30","236.21","236.39","236.21","0.06K","0.02%"
"Dec 13, 2017","236.26","236.70","236.70","236.31","0.57K","-0.14%"
"Dec 12, 2017","236.60","236.84","236.84","236.65","0.05K","-0.08%"
"Dec 06, 2017","236.79","236.90","236.90","236.70","0.02K","0.12%"
"Dec 04, 2017","236.51","236.46","236.50","236.46","0.50K","0.17%"
"Nov 30, 2017","236.11","235.57","235.80","235.57","0.05K","0.14%"
"Nov 29, 2017","235.78","236.12","236.12","235.86","0.98K","-0.17%"
"Nov 28, 2017","236.19","236.25","236.25","236.10","0.17K","0.15%"
"Nov 24, 2017","235.84","236.00","236.00","235.76","0.38K","-0.10%"
"Nov 23, 2017","236.07","236.31","236.31","236.06","0.03K","-0.06%"
"Nov 22, 2017","236.20","236.30","236.30","236.06","0.20K","-0.00%"
"Nov 21, 2017","236.21","236.45","236.45","236.45","0.05K","0.08%"
"Nov 20, 2017","236.02","235.91","236.03","235.91","0.10K","0.04%"
"Nov 17, 2017","235.93","235.91","235.91","235.91","0.00K","0.04%"
"Nov 16, 2017","235.84","235.92","235.92","235.92","0.01K","-0.02%"
"Nov 15, 2017","235.89","235.97","235.97","235.97","0.01K","0.04%"
"Nov 14, 2017","235.79","235.76","235.76","235.76","0.01K","0.08%"
"Nov 13, 2017","235.61","235.79","235.79","235.79","0.01K","0.04%"
"Nov 10, 2017","235.51","235.73","235.73","235.73","0.00K","-0.41%"
"Nov 08, 2017","236.49","236.45","236.64","236.45","0.03K","-0.10%"
"Nov 07, 2017","236.73","236.27","236.72","236.27","0.08K","0.22%"
"Nov 06, 2017","236.21","236.26","236.26","236.26","0.00K","0.08%"
"Nov 03, 2017","236.02","236.20","236.20","236.11","0.47K","0.03%"
"Nov 02, 2017","235.94","235.75","235.75","235.75","0.01K","0.04%"
"Oct 31, 2017","235.84","235.74","235.85","235.74","0.20K","0.02%"
"Oct 30, 2017","235.80","235.85","235.85","235.85","0.01K","0.15%"
"Oct 27, 2017","235.45","235.27","235.27","235.27","0.03K","0.47%"
"Oct 24, 2017","234.35","234.58","234.58","234.50","0.13K","-0.16%"
"Oct 23, 2017","234.73","234.90","234.90","234.90","0.03K","0.11%"
"Oct 20, 2017","234.48","234.64","234.65","234.64","0.20K","-0.17%"
"Oct 19, 2017","234.89","234.89","234.89","234.60","0.03K","0.07%"
"Oct 18, 2017","234.73","235.21","235.21","234.70","0.05K","-0.12%"
"Oct 16, 2017","235.02","234.74","235.02","234.69","2.58K","0.12%"
"Oct 13, 2017","234.74","234.98","235.00","234.75","0.17K","0.20%"
"Oct 12, 2017","234.26","234.32","234.32","234.32","0.01K","0.16%"
"Oct 11, 2017","233.89","234.07","234.07","234.07","0.01K","-0.00%"
"Oct 10, 2017","233.90","233.92","233.92","233.92","0.06K","-0.02%"
"Oct 09, 2017","233.95","234.21","234.21","234.21","0.15K","0.09%"
"Oct 06, 2017","233.74","233.58","233.91","233.58","0.17K","-0.02%"
"Oct 05, 2017","233.79","233.75","233.91","233.66","0.03K","0.02%"
"Oct 04, 2017","233.75","233.73","233.73","233.73","0.10K","-0.04%"
"Oct 03, 2017","233.85","233.58","233.58","233.58","0.00K","-0.08%"
"Oct 02, 2017","234.03","234.17","234.25","234.08","5.52K","-0.02%"
"Sep 29, 2017","234.08","234.39","234.39","234.19","0.16K","0.05%"
"Sep 28, 2017","233.96","233.67","234.14","233.52","0.76K","-0.00%"
"Sep 27, 2017","233.97","234.03","234.08","233.80","1.03K","-0.12%"
"Sep 26, 2017","234.24","234.50","234.50","234.35","0.15K","-0.04%"
"Sep 25, 2017","234.33","234.56","234.56","234.56","0.00K","0.18%"
"Sep 22, 2017","233.90","234.10","234.10","233.89","0.03K","-0.02%"
"Sep 21, 2017","233.94","233.75","234.03","233.75","0.04K","-0.09%"
"Sep 20, 2017","234.16","234.09","234.09","234.09","0.00K","-0.01%"
"Sep 19, 2017","234.19","234.20","234.23","233.90","0.11K","0.06%"
"Sep 18, 2017","234.04","234.19","234.44","234.19","0.03K","-0.10%"
"Sep 14, 2017","234.28","234.27","234.49","234.27","0.45K","-0.08%"
"Sep 13, 2017","234.46","234.79","234.79","234.45","0.02K","-0.03%"
"Sep 12, 2017","234.52","234.73","235.18","234.21","0.67K","-0.41%"
"Sep 07, 2017","235.48","234.90","234.90","234.90","0.04K","0.30%"
"Sep 06, 2017","234.78","234.83","234.83","234.79","0.20K","-0.14%"
